agent,block,trial,action,reward,p_0,drift_0,drift_1,Q_0,Q_1,alpha,beta
0,-1,0,0,1,0.5,0.5,0.5,0.5163212953517248,0.0,0.5163212953517248,8.677475456945688
0,-1,1,0,1,0.9887976415367318,0.5,0.5,0.7660549106697665,0.0,0.5163212953517248,8.677475456945688
0,-1,2,0,0,0.998704319457824,0.5,0.5,0.3705244468822029,0.0,0.5163212953517248,8.677475456945688
0,-1,3,0,1,0.961402913590338,0.5,0.5,0.6955360798602273,0.0,0.5163212953517248,8.677475456945688
0,-1,4,0,0,0.9976134028448164,0.5,0.5,0.336415990142934,0.0,0.5163212953517248,8.677475456945688
0,-1,5,0,1,0.948789457503107,0.5,0.5,0.679038545687026,0.0,0.5163212953517248,8.677475456945688
0,-1,6,0,0,0.997247090757106,0.5,0.5,0.3284364841841494,0.0,0.5163212953517248,8.677475456945688
0,-1,7,0,1,0.9453186585239703,0.5,0.5,0.6751790285811479,0.0,0.5163212953517248,8.677475456945688
0,-1,8,0,1,0.9971535990554276,0.5,0.5,0.8428910133015352,0.0,0.5163212953517248,8.677475456945688
0,-1,9,0,1,0.999334406807153,0.5,0.5,0.9240097288250836,0.0,0.5163212953517248,8.677475456945688
0,-1,10,0,1,0.9996706538209011,0.5,0.5,0.9632451240722452,0.0,0.5163212953517248,8.677475456945688
0,-1,11,0,0,0.9997656676808866,0.5,0.5,0.4659011538700306,0.0,0.5163212953517248,8.677475456945688
0,-1,12,0,1,0.982755139349572,0.5,0.5,0.7416677619497181,0.0,0.5163212953517248,8.677475456945688
0,-1,13,0,0,0.9983994462846252,0.5,0.5,0.358728902379225,0.0,0.5163212953517248,8.677475456945688
0,-1,14,0,0,0.95742015242358,0.5,0.5,0.1735095308226811,0.0,0.5163212953517248,8.677475456945688
0,-1,15,0,0,0.8184118815045658,0.5,0.5,0.0839228651124443,0.0,0.5163212953517248,8.677475456945688
0,-1,16,0,1,0.6744186270302566,0.5,0.5,0.5569129980396837,0.0,0.5163212953517248,8.677475456945688
0,-1,17,0,1,0.9920971601148444,0.5,0.5,0.7856882528453465,0.0,0.5163212953517248,8.677475456945688
0,-1,18,0,1,0.998907060111894,0.5,0.5,0.8963419717453285,0.0,0.5163212953517248,8.677475456945688
0,-1,19,0,1,0.9995813202408677,0.5,0.5,0.949862819167386,0.0,0.5163212953517248,8.677475456945688
0,-1,20,0,0,0.9997368205699462,0.5,0.5,0.4594284179684402,0.0,0.5163212953517248,8.677475456945688
0,-1,21,0,1,0.981776984947621,0.5,0.5,0.7385370374333062,0.0,0.5163212953517248,8.677475456945688
0,-1,22,0,1,0.998355440857704,0.5,0.5,0.8735359329522411,0.0,0.5163212953517248,8.677475456945688
0,-1,23,0,1,0.99948974349397,0.5,0.5,0.9388320238657872,0.0,0.5163212953517248,8.677475456945688
0,-1,24,0,1,0.999710391774666,0.5,0.5,0.9704143525374476,0.0,0.5163212953517248,8.677475456945688
0,-1,25,0,1,0.9997797983747878,0.5,0.5,0.985690052359132,0.0,0.5163212953517248,8.677475456945688
0,-1,26,0,1,0.999807129991315,0.5,0.5,0.9930785830614804,0.0,0.5163212953517248,8.677475456945688
0,-1,27,0,0,0.9998191053865336,0.5,0.5,0.4803309626691214,0.0,0.5163212953517248,8.677475456945688
0,-1,28,0,1,0.9847537815444284,0.5,0.5,0.7486471531779845,0.0,0.5163212953517248,8.677475456945688
0,-1,29,0,1,0.998493362708856,0.5,0.5,0.8784259806394712,0.0,0.5163212953517248,8.677475456945688
0,-1,30,0,1,0.99951093202763,0.5,0.5,0.9411972357968152,0.0,0.5163212953517248,8.677475456945688
0,-1,31,0,0,0.9997162734627144,0.5,0.5,0.4552370598287408,0.0,0.5163212953517248,8.677475456945688
0,-1,32,0,1,0.9811147533842616,0.5,0.5,0.7365097667575795,0.0,0.5163212953517248,8.677475456945688
0,-1,33,0,0,0.9983263033294222,0.5,0.5,0.3562340899461094,0.0,0.5163212953517248,8.677475456945688
0,-1,34,1,0,0.9565288134764304,0.5,0.5,0.3562340899461094,0.0,0.5163212953517248,8.677475456945688
0,-1,35,0,0,0.9565288134764304,0.5,0.5,0.1723028431766913,0.0,0.5163212953517248,8.677475456945688
0,-1,36,0,0,0.8168505539278216,0.5,0.5,0.0833392159949169,0.0,0.5163212953517248,8.677475456945688
0,-1,37,0,1,0.6733055705222418,0.5,0.5,0.556630699390549,0.0,0.5163212953517248,8.677475456945688
0,-1,38,0,0,0.9920779308267218,0.5,0.5,0.2692304156486842,0.0,0.5163212953517248,8.677475456945688
0,-1,39,0,1,0.911834303020446,0.5,0.5,0.6465423140445972,0.0,0.5163212953517248,8.677475456945688
0,-1,40,0,1,0.996353575392353,0.5,0.5,0.8290400443091139,0.0,0.5163212953517248,8.677475456945688
0,-1,41,0,1,0.9992494658862472,0.5,0.5,0.9173103100847058,0.0,0.5163212953517248,8.677475456945688
0,-1,42,0,1,0.9996509470109108,0.5,0.5,0.960004757894003,0.0,0.5163212953517248,8.677475456945688
0,-1,43,0,1,0.9997589867790936,0.5,0.5,0.9806551531060772,0.0,0.5163212953517248,8.677475456945688
0,-1,44,0,1,0.999798518405806,0.5,0.5,0.9906433095127282,0.0,0.5163212953517248,8.677475456945688
0,-1,45,0,1,0.9998152427541596,0.5,0.5,0.9954743680653216,0.0,0.5163212953517248,8.677475456945688
0,-1,46,0,1,0.9998228265897388,0.5,0.5,0.9978110482081198,0.0,0.5163212953517248,8.677475456945688
0,-1,47,0,1,0.9998263822499822,0.5,0.5,0.9989412506327658,0.0,0.5163212953517248,8.677475456945688
0,-1,48,0,1,0.9998280763583672,0.5,0.5,0.999487905477509,0.0,0.5163212953517248,8.677475456945688
0,-1,49,0,0,0.9998288898221642,0.5,0.5,0.4834310154329793,0.0,0.5163212953517248,8.677475456945688
0,-1,50,0,1,0.9851524388724104,0.5,0.5,0.7501465826831486,0.0,0.5163212953517248,8.677475456945688
0,-1,51,0,1,0.9985128100173514,0.5,0.5,0.8791512227602404,0.0,0.5163212953517248,8.677475456945688
0,-1,52,0,0,0.99951399870909,0.5,0.5,0.4252267246146203,0.0,0.5163212953517248,8.677475456945688
0,-1,53,0,1,0.975633897026037,0.5,0.5,0.7219944066951531,0.0,0.5163212953517248,8.677475456945688
0,-1,54,0,1,0.9981020643493984,0.5,0.5,0.8655346147453364,0.0,0.5163212953517248,8.677475456945688
0,-1,55,0,1,0.9994530769540458,0.5,0.5,0.934961956639993,0.0,0.5163212953517248,8.677475456945688
0,-1,56,0,1,0.9997005038433172,0.5,0.5,0.9685424834347734,0.0,0.5163212953517248,8.677475456945688
0,-1,57,0,1,0.9997761932184792,0.5,0.5,0.9847846691362796,0.0,0.5163212953517248,8.677475456945688
0,-1,58,0,0,0.999805609047305,0.5,0.5,0.476319373125316,0.0,0.5163212953517248,8.677475456945688
0,-1,59,0,0,0.9842222291027514,0.5,0.5,0.2303855373921313,0.0,0.5163212953517248,8.677475456945688
0,-1,60,0,1,0.8807093643124213,0.5,0.5,0.6277538736472477,0.0,0.5163212953517248,8.677475456945688
0,-1,61,0,0,0.995710638616002,0.5,0.5,0.3036311804436378,0.0,0.5163212953517248,8.677475456945688
0,-1,62,0,0,0.93306495311785,0.5,0.5,0.1468599360478054,0.0,0.5163212953517248,8.677475456945688
0,-1,63,0,1,0.781490498093807,0.5,0.5,0.5873543189840559,0.0,0.5163212953517248,8.677475456945688
0,-1,64,0,0,0.9939206082794844,0.5,0.5,0.284090776175778,0.0,0.5163212953517248,8.677475456945688
0,-1,65,0,1,0.9216652471129472,0.5,0.5,0.6537299539749482,0.0,0.5163212953517248,8.677475456945688
0,-1,66,0,1,0.9965733021706392,0.5,0.5,0.8325165526801043,0.0,0.5163212953517248,8.677475456945688
0,-1,67,0,0,0.999271753133962,0.5,0.5,0.4026705277985604,0.0,0.5163212953517248,8.677475456945688
0,-1,68,0,1,0.9705212496767678,0.5,0.5,0.7110844546373698,0.0,0.5163212953517248,8.677475456945688
0,-1,69,0,1,0.9979139982498662,0.5,0.5,0.8602577032662531,0.0,0.5163212953517248,8.677475456945688
0,-1,70,0,0,0.9994274656389656,0.5,0.5,0.4160883315795216,0.0,0.5163212953517248,8.677475456945688
0,-1,71,0,0,0.9736759681243052,0.5,0.5,0.201253065237645,0.0,0.5163212953517248,8.677475456945688
0,-1,72,0,0,0.851494182345226,0.5,0.5,0.0973418219006389,0.0,0.5163212953517248,8.677475456945688
0,-1,73,0,0,0.69945022872737,0.5,0.5,0.0470821663250041,0.0,0.5163212953517248,8.677475456945688
0,-1,74,1,1,0.6007411867534239,0.5,0.5,0.0470821663250041,0.5163212953517248,0.5163212953517248,8.677475456945688
0,-1,75,1,1,0.0167607765176815,0.5,0.5,0.0470821663250041,0.7660549106697665,0.5163212953517248,8.677475456945688
0,-1,76,1,1,0.001948260211656,0.5,0.5,0.0470821663250041,0.8868457422339276,0.5163212953517248,8.677475456945688
0,-1,77,1,0,0.000683891044572,0.5,0.5,0.0470821663250041,0.4289483998265443,0.5163212953517248,8.677475456945688
0,-1,78,1,1,0.0351063836427455,0.5,0.5,0.0470821663250041,0.7237945017407782,0.5163212953517248,8.677475456945688
0,-1,79,1,1,0.002808885426399,0.5,0.5,0.0470821663250041,0.8664052823852482,0.5163212953517248,8.677475456945688
0,-1,80,1,1,0.0008165086324718,0.5,0.5,0.0470821663250041,0.9353830800362448,0.5163212953517248,8.677475456945688
0,-1,81,1,0,0.0004489233483092,0.5,0.5,0.0470821663250041,0.4524248765018447,0.5163212953517248,8.677475456945688
0,-1,82,1,0,0.0288225420292343,0.5,0.5,0.0470821663250041,0.2188282782170681,0.5163212953517248,8.677475456945688
0,-1,83,0,0,0.1838733012428385,0.5,0.5,0.0227726412201126,0.2188282782170681,0.5163212953517248,8.677475456945688
0,-1,84,1,1,0.1542997323858687,0.5,0.5,0.0227726412201126,0.6221638735001687,0.5163212953517248,8.677475456945688
0,-1,85,1,1,0.005479740590396,0.5,0.5,0.0227726412201126,0.8172487117652397,0.5163212953517248,8.677475456945688
0,-1,86,1,1,0.0010127763147024,0.5,0.5,0.0227726412201126,0.9116070936338077,0.5163212953517248,8.677475456945688
0,-1,87,1,1,0.0004468506673684,0.5,0.5,0.0227726412201126,0.9572462335487038,0.5163212953517248,8.677475456945688
0,-1,88,1,0,0.0003007676628478,0.5,0.5,0.0227726412201126,0.4629996182722773,0.5163212953517248,8.677475456945688
